Usage,Image name,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt,unknown,NF
Training,fer0000000.png,4,0,0,1,3,2,0,0,0,0
Training,fer0000001.png,6,0,1,1,0,0,0,0,2,0
Training,fer0000002.png,5,0,0,3,1,0,0,0,1,0
Training,fer0000003.png,4,0,0,4,1,0,0,0,1,0
Training,fer0000004.png,9,0,0,1,0,0,0,0,0,0
Training,fer0000005.png,6,0,0,1,0,0,1,1,1,0
Training,fer0000006.png,2,0,0,8,0,0,0,0,0,0
Training,fer0000007.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000008.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000009.png,0,0,6,0,0,0,4,0,0,0
Training,fer0000010.png,2,0,0,0,8,0,0,0,0,0
Training,fer0000011.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000012.png,5,0,0,3,0,0,0,0,2,0
Training,fer0000013.png,9,0,0,1,0,0,0,0,0,0
Training,fer0000014.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000015.png,0,0,6,0,1,0,3,0,0,0
Training,fer0000016.png,4,6,0,0,0,0,0,0,0,0
Training,,0,0,0,0,0,0,0,0,0,10
Training,fer0000018.png,1,0,2,4,2,0,0,0,1,0
Training,fer0000019.png,6,1,0,0,3,0,0,0,0,0
Training,fer0000020.png,5,0,0,4,0,0,0,0,1,0
Training,fer0000021.png,1,0,1,2,0,0,5,0,1,0
Training,fer0000022.png,1,0,1,1,7,0,0,0,0,0
Training,,0,0,0,0,0,0,0,0,0,10
Training,fer0000024.png,2,7,0,0,0,0,0,1,0,0
Training,fer0000025.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000026.png,4,2,4,0,0,0,0,0,0,0
Training,fer0000027.png,0,0,0,0,7,1,0,0,2,0
Training,fer0000028.png,1,7,0,0,0,2,0,0,0,0
Training,fer0000029.png,0,1,6,0,0,0,3,0,0,0
Training,fer0000030.png,0,9,0,0,0,1,0,0,0,0
Training,fer0000031.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000032.png,0,9,0,0,0,0,0,0,1,0
Training,fer0000033.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000034.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000035.png,9,0,0,0,0,0,0,1,0,0
Training,fer0000036.png,8,0,0,0,0,0,0,1,1,0
Training,fer0000037.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000038.png,1,0,1,0,8,0,0,0,0,0
Training,fer0000039.png,1,8,1,0,0,0,0,0,0,0
Training,fer0000040.png,2,0,0,5,1,1,0,1,0,0
Training,fer0000041.png,3,7,0,0,0,0,0,0,0,0
Training,fer0000042.png,4,0,0,5,0,0,0,0,1,0
Training,fer0000043.png,0,0,0,0,8,0,0,0,2,0
Training,fer0000044.png,7,0,0,3,0,0,0,0,0,0
Training,fer0000045.png,1,0,6,0,0,0,1,0,2,0
Training,fer0000046.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000047.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000048.png,6,0,0,3,0,0,0,0,1,0
Training,fer0000049.png,2,0,0,8,0,0,0,0,0,0
Training,fer0000050.png,7,0,0,2,1,0,0,0,0,0
Training,fer0000051.png,1,0,3,1,0,0,5,0,0,0
Training,fer0000052.png,2,2,3,1,0,1,1,0,0,0
Training,fer0000053.png,9,1,0,0,0,0,0,0,0,0
Training,fer0000054.png,0,0,0,10,0,0,0,0,0,0
Training,fer0000055.png,1,3,6,0,0,0,0,0,0,0
Training,fer0000056.png,6,0,0,0,1,0,1,1,1,0
Training,fer0000057.png,1,9,0,0,0,0,0,0,0,0
Training,fer0000058.png,8,0,0,2,0,0,0,0,0,0
Training,,0,0,0,0,0,0,0,0,0,10
Training,fer0000059.png,8,0,2,0,0,0,0,0,0,0
Training,fer0000060.png,0,0,9,0,0,0,1,0,0,0
Training,fer0000061.png,1,9,0,0,0,0,0,0,0,0
Training,fer0000062.png,0,0,0,9,0,0,0,0,1,0
Training,fer0000063.png,0,7,3,0,0,0,0,0,0,0
Training,fer0000064.png,9,1,0,0,0,0,0,0,0,0
Training,fer0000065.png,6,4,0,0,0,0,0,0,0,0
Training,fer0000066.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000067.png,1,0,1,0,7,0,0,0,1,0
Training,fer0000068.png,5,0,0,1,1,0,1,0,2,0
Training,fer0000069.png,4,0,0,6,0,0,0,0,0,0
Training,fer0000070.png,4,0,0,1,2,0,0,1,2,0
Training,fer0000071.png,3,0,1,5,0,0,0,0,1,0
Training,fer0000072.png,2,1,2,1,0,0,4,0,0,0
Training,fer0000073.png,1,4,0,0,4,0,0,0,1,0
Training,fer0000074.png,7,0,0,0,0,0,0,2,1,0
Training,fer0000075.png,0,0,0,0,10,0,0,0,0,0
Training,fer0000076.png,6,0,0,2,1,1,0,0,0,0
Training,fer0000077.png,0,0,8,0,0,0,2,0,0,0
Training,fer0000078.png,6,0,0,0,3,0,0,0,1,0
Training,fer0000079.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000080.png,2,0,8,0,0,0,0,0,0,0
Training,fer0000081.png,0,10,0,0,0,0,0,0,0,0
Training,fer0000082.png,5,0,1,0,0,0,0,0,4,0
Training,fer0000083.png,4,0,0,6,0,0,0,0,0,0
Training,fer0000084.png,10,0,0,0,0,0,0,0,0,0
Training,fer0000085.png,3,0,0,5,0,0,0,0,2,0
Training,fer0000086.png,3,5,0,0,0,0,0,2,0,0
Training,fer0000087.png,0,2,6,0,0,0,0,0,2,0
Training,fer0000088.png,5,0,0,2,1,0,0,1,1,0
Training,fer0000089.png,4,5,0,0,1,0,0,0,0,0
Training,fer0000090.png,5,0,0,0,4,0,0,0,1,0
Training,fer0000091.png,4,0,0,4,0,0,1,0,1,0
Training,fer0000092.png,0,7,0,0,2,0,0,1,0,0
